,actual_return,expected_rel,expected_abs,delta_rel,delta_abs,r_squared,residual_vol,confidence_delta
SONY,-0.018617025099136097,-0.0005195560662757992,-0.002253161329062011,0.0180974690328603,0.016363863770074087,0.5216493285984242,0.2103669631622426,0.009440532570322348
TM,-0.0030581135708929175,0.003148080592564012,0.0015269726645721709,0.006206194163456929,0.004585086235465089,0.6196435038992567,0.21809601367865428,0.003845627897323568
SAP,-0.001872032183684369,-0.0009262379310737849,-0.003899385971360262,0.000945794252610584,-0.0020273537876758932,0.8084805684774046,0.15691132670941144,0.000764656275013267
TTE,-0.008121277881885103,-0.006897392814014525,-0.010665182795214456,0.0012238850678705782,-0.0025439049133293527,0.5552951332091969,0.28525900745965893,0.0006796174217959396
RIO,-0.005059171138691476,-0.0028381279763262717,-0.00017380375545717527,0.0022210431623652044,0.004885367383234301,0.2545700348074449,0.3123521583867785,0.0005654110351521475
BHP,-0.004002872115758449,-0.0024117007369947913,0.002115357744656763,0.0015911713787636578,0.006118229860415212,0.1685605283701912,0.34448803461353295,0.0002682086883319278
HSBC,-0.00032597944265722045,-0.0019711678969568302,-0.0038118639488228852,-0.0016451884542996098,-0.003485884506165665,0.5996531872981674,0.24288009636450925,-0.0009865425003269064
SHEL,-0.005093566103798741,-0.007971212685558443,-0.007395949776004872,-0.0028776465817597022,-0.002302383672206131,0.391111849169282,0.3309110142605127,-0.0011254816758477005
RY,0.002801638960808539,-0.00018052311279850007,-0.0011930504097741974,-0.002982162073607039,-0.003994689370582736,0.43934621450375766,0.15367677323965295,-0.0013102016180759287
NVO,0.012840723195800319,4.4943681834250715e-05,0.0024408392242746615,-0.012795779513966068,-0.010399883971525657,0.5583286219959986,0.2111086778618656,-0.007144249943397304
ASML,0.025690970109335742,0.0010916557466197525,0.0028893622888745167,-0.02459931436271599,-0.022801607820461225,0.7330295166741786,0.2821069158603459,-0.01803202351781788
