,actual_return,expected_rel,expected_abs,delta_rel,delta_abs,r_squared,residual_vol,confidence_delta
TXN,-0.03250520378052846,-0.0011665295780207776,0.0017565210500478541,0.03133867420250768,0.03426172483057631,0.6452909073879887,0.1687349241205241,0.020222561512472734
HII,-0.03966961891827403,-0.006589166685574281,-0.0025639479814386712,0.03308045223269975,0.03710567093683536,0.4957550863201805,0.22050955098283784,0.016399802452132673
COST,-0.03906752854291995,-0.00017030155230547014,0.0030263101564477553,0.03889722699061448,0.042093838699367704,0.3652425961932624,0.15356681778849124,0.014206924170770671
CPRT,-0.015324469358168002,0.00029931165557398374,0.0004493089181464636,0.015623781013741986,0.015773778276314467,0.8117669013340909,0.18936762880372285,0.012682868300647734
BSX,-0.016289945573568554,0.00021892857994423469,0.0010128052648973262,0.01650887415351279,0.01730275083846588,0.6005928909641303,0.18007333855580424,0.009915112454421254
ADI,-0.012314750344498027,-0.001299248044611009,9.50608061344269e-05,0.011015502299887018,0.012409811150632454,0.6927311160909426,0.244620832638487,0.007630781202503079
PH,-0.009591811422472452,-0.002304427424993549,-0.0033792519911704684,0.007287383997478903,0.006212559431301983,0.81842901947439,0.12998670531033657,0.005964206539590019
LLY,-0.01934686535627783,-0.0019049178564755022,0.003925043596694109,0.01744194749980233,0.02327190895297194,0.33501679040211385,0.1765528129126353,0.005843345269745951
PG,-0.01610586008179149,0.00036499320676797983,-3.7375837486346305e-05,0.01647085328855947,0.016068484244305143,0.3038929258901185,0.20736727649743472,0.005005375797767217
SYK,-0.008256699621642771,-0.00119892074279644,0.0006236911030657083,0.0070577788788463314,0.00888039072470848,0.633179295738742,0.19628411460099524,0.004468839459987688
LNG,-0.020516646615841738,-0.009575201954379832,-0.0038795875320229616,0.010941444661461906,0.016637059083818777,0.39189738339428215,0.34941944307219563,0.004287923533380258
ZTS,-0.007410172818903993,-0.0011748827097703128,-0.0022368677924102113,0.0062352901091336805,0.0051733050264937816,0.6732598349711498,0.15674738938701913,0.004197970389872584
SNPS,-0.01044444777433251,-0.002212994249595693,0.00022742226185308015,0.008231453524736818,0.010671870036185591,0.5059349513020214,0.3463715400945584,0.0041645800381825745
KO,-0.017410787988044962,-0.00020369942267504655,0.0005125805066670006,0.017207088565369916,0.017923368494711964,0.24167158126501087,0.19207406363148477,0.004158464302560035
LMT,-0.012583551105025848,-0.004342017945645244,0.0004385931199110942,0.008241533159380605,0.013022144224936942,0.4818895837809619,0.2704515222978888,0.003971508983890916
CME,-0.013986030909854397,-0.0008453538136822519,-0.0008261496723107216,0.013140677096172145,0.013159881237543676,0.2980745851294695,0.23683109149180695,0.003916901873761834
FAST,-0.012511116612896389,-0.0014674173141472945,0.002189999247804457,0.011043699298749095,0.014701115860700846,0.35244560755511745,0.14785366034838163,0.0038923033090036497
UAL,-0.0022596429024217546,0.0026989500159315064,0.0021461696478063735,0.004958592918353261,0.004405812550228128,0.7590580840017442,0.3801996136689309,0.0037638600399498437
JNJ,-0.023700178285857576,-0.001128391738623867,0.0008655587741805487,0.02257178654723371,0.024565737060038124,0.1633445357193033,0.19529487929651718,0.0036869779939131065
PEP,-0.01435498626771503,-0.0010018598478061752,-0.0008001991603126077,0.013353126419908856,0.013554787107402422,0.27485007637165615,0.17133118390184277,0.0036701078163123286
KLAC,-0.003071151585271381,0.0010984032067991951,0.0004787283406505801,0.0041695547920705765,0.003549879925921961,0.7461324193344809,0.25969868680679914,0.003111040004555298
IDXX,-0.007922116381012922,-0.0031085475107788304,-0.001567981212014182,0.004813568870234092,0.006354135168998741,0.5805769289717728,0.2568979799634718,0.0027946470320746354
ROK,-0.00822337364722514,-0.002597360464212635,-0.0019661174491630946,0.005626013183012505,0.006257256198062046,0.48921265492951704,0.19975749804357448,0.0027523168459300104
WMT,-0.02649286362871328,0.0013920975357316085,0.004431428661906817,0.027884961164444888,0.030924292290620096,0.08782415493599549,0.1955924071840436,0.002448973149690425
